Folder Path,Image 1,Image 2,Sort Order,Proposed Front,Proposed Back,Proposal Basis
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-65,CM-YX-65 Front.webp,CM-YX-65.webp,alphabetical (numeric-aware),CM-YX-65 Front.webp,CM-YX-65.webp,"""CM-YX-65 Front.webp"" is marked front"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-66,CM-YX-66 Back.webp,CM-YX-66.webp,alphabetical (numeric-aware),CM-YX-66.webp,CM-YX-66 Back.webp,"""CM-YX-66 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-67,CM-YX-67 Back.webp,CM-YX-67.webp,alphabetical (numeric-aware),CM-YX-67.webp,CM-YX-67 Back.webp,"""CM-YX-67 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-68,CM-YX-68 Back.webp,CM-YX-68.webp,alphabetical (numeric-aware),CM-YX-68.webp,CM-YX-68 Back.webp,"""CM-YX-68 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-78,CM-YX-78 Back.webp,CM-YX-78.webp,alphabetical (numeric-aware),CM-YX-78.webp,CM-YX-78 Back.webp,"""CM-YX-78 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-79,cm-yx-79 fRONT.webp,CM-YX-79.webp,alphabetical (numeric-aware),cm-yx-79 fRONT.webp,CM-YX-79.webp,"""cm-yx-79 fRONT.webp"" is marked front"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-80,CM-YX-80 Back.webp,CM-YX-80.webp,alphabetical (numeric-aware),CM-YX-80.webp,CM-YX-80 Back.webp,"""CM-YX-80 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-81,CM-YX-81 Back.webp,CM-YX-81.webp,alphabetical (numeric-aware),CM-YX-81.webp,CM-YX-81 Back.webp,"""CM-YX-81 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-85,CM-YX 85.webp,CM-YX-85 Front.webp,alphabetical (numeric-aware),CM-YX-85 Front.webp,CM-YX 85.webp,"""CM-YX-85 Front.webp"" is marked front"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-86,CM-YX-86 Back.webp,CM-YX-86.webp,alphabetical (numeric-aware),CM-YX-86.webp,CM-YX-86 Back.webp,"""CM-YX-86 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-87,CM-YX-87 Front.webp,CM-YX-87.webp,alphabetical (numeric-aware),CM-YX-87 Front.webp,CM-YX-87.webp,"""CM-YX-87 Front.webp"" is marked front"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-89,CM-YX-89 Back.webp,CM-YX-89.webp,alphabetical (numeric-aware),CM-YX-89.webp,CM-YX-89 Back.webp,"""CM-YX-89 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-90,CM-YX-90 Back.webp,CM-YX-90.webp,alphabetical (numeric-aware),CM-YX-90.webp,CM-YX-90 Back.webp,"""CM-YX-90 Back.webp"" is marked back"
