year,set_name,cards_missing_images,set_adds_last_90_days,set_adds_all_time,set_unique_collectors,set_wishlist_adds
2025,2025 Topps Chrome Sapphire Edition Marvel - Black Sapphire,88,3,3,1,0
2023,2023-24 Upper Deck Marvel Annual - Gold Linearity,3,3,3,2,0
2024,2024 Upper Deck Marvel Studios Series 1 - 1995 Collectors Choice SE Retros Super Script,30,3,3,1,0
2025,2025 Kakawow Cosmos Marvel - Lucky Mini,22,3,3,2,0
2026,Hulk Green Lazer Refractor,200,3,3,3,0
2026,Storm's Green Lightning Refractor,200,3,3,2,0
2023,2023 Upper Deck Marvel Anime Vol. 2 - Stax,36,3,3,2,0
2024,2024 Upper Deck Marvel Beginnings Volume 2 Series 2 - Orange Bridge,100,3,3,1,0
2025,2025 Topps Finest X-Men '97 - Previously on X-Men,3,3,3,1,0
2026,Captain America's Star Refractor,199,3,3,3,0
2026,Spider-Web Red/Blue Refractor,200,3,3,2,2
2024,2024 Upper Deck Marvel Masterpieces '92 Platinum - Wood,56,3,3,2,0
2026,Orange Wave Refractor,198,3,3,3,0
2024,2024 Upper Deck Marvel Masterpieces '92 Platinum - Variant Cover Blue Traxx,100,3,3,3,0
2025,2025 Kakawow Cosmos Marvel - Cosmos Infinity,99,3,3,2,0
2022,"2022 Upper Deck Marvel Beginnings Volume 2, Series 1 - Black Border",96,3,3,1,0
2026,Marvel Logofractor,199,3,3,2,0
2026,You Are Worthy,2,3,3,2,0
1993,1993 SkyBox Marvel Masterpieces - Promos,4,3,3,1,0
2025,2025 Topps Chrome Sapphire Edition Marvel - Orange Sapphire,100,3,3,1,0
2023,2023 Upper Deck Marvel Wandavision - 2023 Upper Deck Marvel Wandavision,85,3,3,1,0
2024,2024 SkyBox Metal Universe Marvel Avengers - Palladium,21,2,49,2,0
2025,Sparkle Holo,60,2,6,2,0
2023,2023 Flair Marvel - Acrylic Aether,2,2,6,4,2
2024,2024 Upper Deck Marvel Allegiance Secret Wars - Yellow Crackle,35,2,5,4,0
2025,Infinity,2,2,5,2,0
2025,MCU Perfection,21,2,5,4,2
2024,2024 Upper Deck Marvel Allegiance Secret Wars - Red Diamonds,69,2,5,3,0
2025,Well You Got Nothing to Say Mouth,1,2,4,3,0
2025,Future Stars,8,2,4,3,0
2024,2024 Upper Deck Marvel Allegiance Secret Wars - Orange Glitter,25,2,3,3,0
2024,2024 Upper Deck Marvel Masterpieces '92 Platinum - Metallurgy,69,2,3,2,0
2024,2024 SkyBox Metal Universe Marvel Avengers - A Soldier’s Metal,5,2,3,3,0
2024,2024 SkyBox Metal Universe Marvel Avengers - Intimidation Nation,40,2,3,3,0
2025,2025 Topps Chrome Marvel Studios - Captain America Refractor,96,2,3,2,2
2024,2024 Upper Deck Marvel Beginnings Volume 2 Series 2 - Breakthrough Issues Signatures,19,2,2,1,0
2024,2024 Upper Deck Marvel Masterpieces '92 Platinum - Fantastic Covers Rainbow,10,2,2,2,0
2025,Fireworks Holo,99,2,2,1,0
2025,2025 Topps Chrome Marvel - Spider Web,100,2,2,1,0
2017,2017 Fleer Ultra Marvel Spider-Man - 2017 Fleer Ultra Marvel Spider-Man,1,2,2,1,0
2026,Topps Originals,10,2,2,2,0
1994,1994 Fleer Marvel Masterpieces Hildebrandt Brothers - 4-Card Panel Promos,1,2,2,2,0
2023,2023 Upper Deck Marvel What If…? - Possibilities Blue,50,2,2,1,0
2024,2024 Upper Deck Marvel Studios Series 2: Cinematic - SP Authentic Future Watch Retros,3,2,2,1,0
2023,2023 Upper Deck Marvel Allegiance: The Infinity Trilogy - Infinity Gems Space,3,2,2,2,0
2023,2023-24 Upper Deck Marvel Annual - Hologram,30,2,2,2,0
2023,2023 Upper Deck Marvel What If…? - Flagship Exclusives,48,2,2,1,0
2023,2023 Flair Marvel - Rainbow Silver,90,2,2,1,0
2024,2024 Upper Deck Marvel Masterpieces '92 Platinum - Golden Treasures,96,2,2,1,0
2023,2023 Upper Deck Marvel What If…? - 1990 Marvel Universe,12,2,2,1,0
2023,2023 Upper Deck Marvel Anime Vol. 2 - Hanafuda,6,2,2,1,0
2026,Black Wave Refractor,199,2,2,2,0
2022,"2022 Upper Deck Marvel Beginnings Volume 2, Series 1 - Flipped FX Orange",90,2,2,1,0
2023,2023 Fleer Ultra Marvel Midnight Sons - Ultra Shades Autographs,36,2,2,1,0
2026,Superfractor 1/65,1,2,2,2,0
2026,Clawed - Red Wolverine Adamantium,199,2,2,2,0
2023,2023 Upper Deck Marvel What If…? - Black Diamond,7,2,2,1,0
2024,2024 Upper Deck Marvel Studios Series 1 - Lunchbox Legends,15,2,2,1,0
2021,2021-22 Upper Deck Marvel Annual - Splash-ticular,3,2,2,2,0
2025,10005 Fire,2,2,2,1,0
2023,2023 Fleer Ultra Marvel Midnight Sons - Medallions Gold,50,2,2,1,0
2026,Green X-Fractor,200,2,2,2,0
2026,Human Torch Refractor,200,2,2,2,2
2024,2024 Upper Deck Marvel Beginnings Volume 2 Series 2 - Flipped FX Orange,90,2,2,1,0
2025,2025 Kakawow Cosmos Marvel - Lucky Mini Limited,13,2,2,2,0
2024,2024 Upper Deck Marvel Masterpieces '92 Platinum - Precious Metal Gems Red,90,2,2,2,0
2024,2024 Upper Deck Women of Marvel - Foil Lt Fx - Red,57,2,2,1,0
2023,2023 Upper Deck Marvel Platinum - Seismic Gold,66,2,2,1,0
1996,1996 Ultra Marvel Onslaught - 1996 Ultra Marvel Onslaught,40,2,2,2,2
2025,2025 Kakawow Cosmos Marvel - Lucky Mini Script Art,23,2,2,2,0
2025,2025 Topps Mint Marvel - Orange,32,2,2,2,0
2025,2025 Topps Chrome Marvel - Blue,100,2,2,1,0
2026,MCU Autographs,10,2,2,1,0
2026,Dazzler's Silver Rhythm Refractor,200,2,2,2,0
1992,1992 Comic Images Spider-Man: The McFarlane Era - 1992 Comic Images Spider-Man: The McFarlane Era,68,1,181,3,1
2023,2023 Upper Deck Marvel What If…? - 2023 Upper Deck Marvel What If…?,14,1,102,3,3
2023,2023 Fleer Ultra Marvel Wolverine - Medallions,3,1,63,4,0
2023,2023 Fleer Ultra Marvel Wolverine - Ultrabilities,33,1,36,3,0
2023,2023 Upper Deck Marvel Platinum - Platinum Duos,1,1,27,3,1
2023,2023 Upper Deck Marvel Platinum - Super Statistics,1,1,27,3,0
2023,2023 Upper Deck Marvel Platinum - Iconic Covers,5,1,26,2,1
2024,2024 SkyBox Metal Universe Marvel Avengers - Blast Furnace,6,1,22,2,0
2024,2024 Upper Deck Marvel Masterpieces Nahuel Grego - Holofoil,2,1,17,2,0
2022,2022 Fleer Ultra Marvel Avengers - Checkmate,1,1,11,2,0
2023,2023 Upper Deck Marvel Anime Vol. 2 - Woodblock Echo,49,1,7,3,1
2025,2025 Topps Chrome Marvel - Iron Man Gold,9,1,6,2,0
2024,2024 SkyBox Metal Universe Marvel Avengers - Metalheads,26,1,5,2,2
2022,2022-23 Upper Deck Marvel Annual - Number 1 Spot Gold,10,1,5,2,0
2024,2024 Upper Deck Marvel Allegiance Secret Wars - Purple Boxes,49,1,4,3,0
2024,2024 SkyBox Metal Universe Marvel Avengers - Pink FX,165,1,4,2,0
2025,Badge,7,1,4,3,0
2022,2022 SkyBox Marvel Masterpieces - Preserved In Amber,81,1,4,1,0
2024,2024 Upper Deck Marvel Masterpieces '92 Platinum - Variant Cover Red Prism,91,1,3,3,0
2023,2023 Upper Deck Marvel Platinum - Creator Art Variant Auto Red Rainbow,55,1,3,3,0
2024,2024 Upper Deck Marvel Beginnings Volume 2 Series 2 - Red Supernova,100,1,3,2,1
2024,2024 Upper Deck Marvel Masterpieces '92 Platinum - Variant Cover Seismic Gold,97,1,3,3,0
2025,Autograph Variation,17,1,3,2,0
2022,"2022 Upper Deck Marvel Beginnings Volume 2, Series 1 - Red Supernova",1,1,3,2,0
2025,Topps Chrome Autographs,1,1,3,2,0
2021,2021-22 Upper Deck Marvel Annual - Canvas Variant,44,1,3,3,0
2023,2023 Upper Deck Marvel Platinum - Red Prism,4,1,3,2,0
2022,2022 Upper Deck Allure Marvel Studios - Character Posters,33,1,3,2,0
2026,Living Legend,19,1,2,2,0
2024,2024 Upper Deck Marvel Masterpieces '92 Platinum - Variant Cover Emerald Surge,98,1,2,2,0
2025,2025 Topps Marvel Comic Book Heroes 1975 Golden Anniversary - Purple & Gold Lava,100,1,2,2,0
2024,2024 Upper Deck Marvel Masterpieces Nahuel Grego - Gold Signature Series,38,1,2,2,0
1994,1994 Fleer Marvel Masterpieces Hildebrandt Brothers - 9-Card Panel Promos,1,1,2,2,0
2023,2023 Upper Deck Marvel Allegiance: Avengers vs X-Men - 2023 Upper Deck Marvel Allegiance: Avengers vs X-Men,32,1,2,2,0
2022,2022 Upper Deck Allure Marvel Studios - Red Rainbow Autographs,16,1,2,2,0
2026,Comic Creator Autographs,1,1,2,2,0
2023,2023 Upper Deck Marvel Platinum - Red Rainbow Autographs,99,1,2,2,0
2025,Marble Holo,92,1,2,2,0
2025,2025 Topps Chrome Marvel - Air Marvel Red Wave Refractor,10,1,2,2,0
2024,2024 Upper Deck Marvel Allegiance Secret Wars - Rainbow Red,7,1,2,2,0
2025,2025 Kakawow Cosmos Marvel - Single Script Art,21,1,2,2,0
2025,2025 Topps Marvel Comic Book Heroes 1975 Golden Anniversary - Gold Atomic,92,1,2,2,0
2025,2025 Kakawow Cosmos Marvel - Cosmos Aurora,22,1,1,1,0
2026,It's Clobberin' Time,20,1,1,1,0
1995,1995 Fleer Ultra X-Men - Ultraprint,1,1,1,1,0
2026,Superfractor 1/104,1,1,1,1,0
2024,2024 Upper Deck Marvel Beginnings Volume 2 Series 2 - Flipped FX Blue,90,1,1,1,0
2026,Negative Zone - Gold Kaleidoscope,100,1,1,1,0
2023,2023 Upper Deck Marvel Platinum - Rainbow Color Wheel Variant Achievements,10,1,1,1,0
2024,2024 Upper Deck Marvel Avengers - Connecting Links,6,1,1,1,0
2026,Orange Refractor,200,1,1,1,0
2026,Marvel Dual Facsimile Autographs,6,1,1,1,0
2024,2024 SkyBox Metal Universe Marvel Avengers - Retro Precious Metal Gems Gold,48,1,1,1,0
2026,Clawed - Black Wolverine Adamantium,199,1,1,1,0
2026,Varied Visage AOA,10,1,1,1,0
2024,2024 Upper Deck Marvel Studios Series 1 - +Footage,12,1,1,1,0
2023,2023 Upper Deck Marvel Eternals - Eternal Scenery Black,10,1,1,1,0
2024,2024 Upper Deck Marvel Masterpieces '92 Platinum - Variant Cover Pink Lasers,93,1,1,1,0
2023,2023 Upper Deck Marvel What If…? - 1990 Marvel Universe Printing Plates Magenta,50,1,1,1,0
2023,2023 Flair Marvel - Flairium,58,1,1,1,0
2025,2025 Kakawow Cosmos Marvel - Single Script Art Gold,20,1,1,1,0
2026,Orange RayWave Refractor,200,1,1,1,0
2023,2023 Upper Deck Marvel Platinum - Purple Pixels,14,1,1,1,0
2026,Negative Zone - Purple Kaleidoscope,100,1,1,1,0
2023,2023 Fleer Ultra Marvel Midnight Sons - Medallions Platinum,50,1,1,1,0
2024,2024 Topps Chrome Sapphire Edition Marvel - Gold Sapphire,1,1,1,1,0
2026,Superfractor 1/157,1,1,1,1,0
2021,2021 SkyBox Metal Universe Marvel X-Men - Black,1,1,1,1,0
2024,2024 Upper Deck Marvel Studios Series 2: Cinematic - HoloGrFX,18,1,1,1,0
1994,1994 Ultra X-Men - Ultra-Print,1,1,1,1,0
2024,2024 Upper Deck Marvel Studios Series 2: Cinematic - Outburst,24,1,1,1,0
2026,Negative Zone - Blue Kaleidoscope,100,1,1,1,0
2026,Red X-Fractor,200,1,1,1,0
2026,Cordially Invited,5,1,1,1,0
