legacy_set_id,legacy_name,legacy_year,legacy_main_set_id,legacy_main_set_name,legacy_card_count,suggested_canonical_set_id,suggested_canonical_name,suggested_confidence,reason
1211,"marvel 1995 metal blaster Gold",1995,26,"Marvel 1995 Metal ",18,2708,"1995 Metal Marvel - Gold Blasters",90,subset_term_match_90%
1302,"marvel 2010 rittenhouse 70 years of comics sticker",2010,49,"Marvel 2010 Rittenhouse: 70 years of comics ",18,2288,"2010 Rittenhouse 70 Years of Marvel Comics - Marvel Tribute",88,token_overlap_88%
1428,"marvel 2021 x men metal universe Blue",2021,59,"Marvel 2021 X-Men metal Universe ",18,4209,"2021 SkyBox Metal Universe Marvel X-Men - Blue",91,subset_term_match_91%
1631,"marvel 2023 fleer ultra wolverine aliases",2023,66,"Marvel 2023 Fleer Ultra Wolverine ",18,4770,"2023 Fleer Ultra Marvel Wolverine - Aliases",100,token_overlap_100%
1730,"marvel 2023 upper deck anime volume 2 kaiju battles artist autograph",2023,68,"Marvel 2023 Upper Deck Anime Volume 2",17,5012,"2023 Upper Deck Marvel Anime Vol. 2 - Kaiju Battles Artist Autographs",80,token_overlap_80%
1566,"marvel 2022 ultra avengers jambalaya",2022,64,"Marvel 2022 Ultra Avengers ",17,4393,"2022 Fleer Ultra Marvel Avengers - Jambalaya",83,token_overlap_83%
1819,"marvel 2023 upper deck what if acetate originals",2023,70,"Marvel 2023 Upper Deck What If ",17,5485,"2023 Upper Deck Marvel What If…? - Acetate Originals",100,token_overlap_100%
1330,"marvel 2016 masterpieces battle spectra Gems",2016,54,"Marvel 2016 Masterpieces ",16,3382,"2016 Upper Deck Marvel Masterpieces - Battle Spectra Gems",80,subset_term_match_80%
1632,"marvel 2023 fleer ultra wolverine aliases Blue Foil",2023,66,"Marvel 2023 Fleer Ultra Wolverine ",16,4771,"2023 Fleer Ultra Marvel Wolverine - Aliases Blue Foil",99,subset_term_match_105%
1633,"marvel 2023 fleer ultra wolverine aliases Gold Spectrum Foil",2023,66,"Marvel 2023 Fleer Ultra Wolverine ",16,4772,"2023 Fleer Ultra Marvel Wolverine - Aliases Gold Spectrum Foil",99,subset_term_match_110%
1634,"marvel 2023 fleer ultra wolverine aliases Green Foil",2023,66,"Marvel 2023 Fleer Ultra Wolverine ",16,4773,"2023 Fleer Ultra Marvel Wolverine - Aliases Green Foil",99,subset_term_match_105%
1635,"marvel 2023 fleer ultra wolverine aliases Orange Foil",2023,66,"Marvel 2023 Fleer Ultra Wolverine ",16,4774,"2023 Fleer Ultra Marvel Wolverine - Aliases Orange Foil",99,subset_term_match_105%
1637,"marvel 2023 fleer ultra wolverine aliases Yellow Foil",2023,66,"Marvel 2023 Fleer Ultra Wolverine ",16,4779,"2023 Fleer Ultra Marvel Wolverine - Aliases Yellow Foil",99,subset_term_match_110%
