legacy_set_id,legacy_name,legacy_year,legacy_main_set_id,legacy_main_set_name,legacy_card_count,suggested_canonical_set_id,suggested_canonical_name,suggested_confidence,reason
1136,"marvel 1992 comic images spider man",1992,12,"Marvel 1992 Comic Images Spider Man",90,2636,"1992 Marvel Comics UK Overkill/Exploits of Spider-Man",44,token_overlap_44%
1139,"marvel 1992 comic images wolverine from then 'til now II",1992,13,"Marvel 1992 Comic Images Wolverine: From then 'til now II ",90,2277,"1992 SkyBox Marvel Masterpieces - Lost Marvel Bonus Cards",20,token_overlap_20%
1263,"marvel 1997 fleer x men oasis",1997,39,"Marvel 1997 Fleer X-Men Oasis ",90,2755,"1997 Fleer/SkyBox Marvel Premium QFX",50,token_overlap_50%
1693,"marvel 2023 masterpieces preserved amber",2023,62,"Marvel 2022 Masterpieces ",90,5226,"2023 Upper Deck Marvel Platinum - Amber Crystals",43,token_overlap_43%
1694,"marvel 2023 masterpieces preserved amber Orange",2023,62,"Marvel 2022 Masterpieces ",90,4667,"2023 Flair Marvel - Iridescence Orange Achievements",50,token_overlap_50%
1691,"marvel 2023 masterpieces metallurgy",2023,62,"Marvel 2022 Masterpieces ",90,4682,"2023 Flair Marvel - Summer",50,token_overlap_50%
1692,"marvel 2023 masterpieces preliminary art",2023,62,"Marvel 2022 Masterpieces ",90,4662,"2023 Flair Marvel - Flairium Original Art Achievements",43,token_overlap_43%
1695,"marvel 2023 masterpieces preserved amber Red",2023,62,"Marvel 2022 Masterpieces ",90,4668,"2023 Flair Marvel - Iridescence Red Achievements",50,token_overlap_50%
1710,"marvel 2023 upper deck allegiance infinity trilogy Printing Plate",2023,67,"Marvel 2023 Upper Deck Allegiance Infinity Trilogy ",90,4930,"2023 Upper Deck Marvel Allegiance: The Infinity Trilogy",78,token_overlap_78%
1904,"marvel 2024 skybox masterpieces nahuel grego Printing Plate",2024,72,"Marvel 2024 Skybox Masterpieces Nahuel Grego",90,5653,"2024 SkyBox Marvel Masterpieces XL - Yellow Printing Plates",63,token_overlap_63%
1895,"marvel 2024 skybox masterpieces nahuel grego Gold Spectrum Autograph",2024,72,"Marvel 2024 Skybox Masterpieces Nahuel Grego",90,6084,"2024 Upper Deck Marvel Masterpieces Nahuel Grego - Gold Spectrum Autographs",73,subset_term_match_73%
